KRX코드,YTD수익률,1년수익률,시작일_YTD,시작일_1년,기준일자
403790,47.95,97.69,20260102,20250807,20260806
152100,57.65,126.81,20260102,20250807,20260806
491220,57.39,128.06,20260102,20250807,20260806
253150,83.94,266.34,20260102,20250807,20260806
253160,-84.03,-92.58,20260102,20250807,20260806
395750,47.55,95.31,20260102,20250807,20260806
395760,40.99,84.79,20260102,20250807,20260806
453010,1.47,1.43,20260102,20250807,20260806
429740,-14.71,-10.27,20260102,20250807,20260806
449450,3.4,1.31,20260102,20250807,20260806
0104G0,-22.61,,20260102,20250807,20260806
0090B0,-26.91,,20260102,20250807,20260806
269530,4.31,12.02,20260102,20250807,20260806
433880,8.6,20.78,20260102,20250807,20260806
251590,7.33,9.65,20260102,20250807,20260806
161510,18.04,27.79,20260102,20250807,20260806
0018C0,-7.69,-11.41,20260102,20250807,20260806
489030,-23.99,-37.39,20260102,20250807,20260806
251600,7.51,10.16,20260102,20250807,20260806
461460,-3.75,-8.52,20260102,20250807,20260806
451600,-18.75,-27.3,20260102,20250807,20260806
491230,1.75,1.59,20260102,20250807,20260806
289670,-3.28,-7.78,20260102,20250807,20260806
298340,0.52,-1.4,20260102,20250807,20260806
489010,34.58,45.17,20260102,20250807,20260806
442580,110.0,362.71,20260102,20250807,20260806
189400,11.63,20.75,20260102,20250807,20260806
496770,7.13,16.55,20260102,20250807,20260806
419650,24.27,53.08,20260102,20250807,20260806
0007G0,-2.7,3.12,20260102,20250807,20260806
0035T0,13.18,71.87,20260102,20250807,20260806
415920,-3.65,42.07,20260102,20250807,20260806
0138Y0,-1.8,,20260102,20250807,20260806
278620,1.32,0.69,20260102,20250807,20260806
477050,1.89,1.64,20260102,20250807,20260806
0050E0,-15.08,-11.72,20260102,20250807,20260806
429760,10.41,25.1,20260102,20250807,20260806
269540,11.02,20.25,20260102,20250807,20260806
0057H0,5.1,14.16,20260102,20250807,20260806
494410,11.77,26.26,20260102,20250807,20260806
0089B0,6.66,,20260102,20250807,20260806
287180,33.85,52.68,20260102,20250807,20260806
213630,12.63,18.8,20260102,20250807,20260806
332610,-1.98,2.64,20260102,20250807,20260806
456200,0.39,6.51,20260102,20250807,20260806
0078V0,-19.74,0.35,20260102,20250807,20260806
494420,1.35,5.56,20260102,20250807,20260806
0023B0,-0.15,27.77,20260102,20250807,20260806
332620,-5.31,-1.02,20260102,20250807,20260806
464470,-5.37,-1.58,20260102,20250807,20260806
461900,2.98,16.97,20260102,20250807,20260806
461910,2.54,27.39,20260102,20250807,20260806
195970,9.89,20.78,20260102,20250807,20260806
238670,8.63,12.88,20260102,20250807,20260806
195980,17.59,31.79,20260102,20250807,20260806
256450,10.99,57.71,20260102,20250807,20260806
447660,3.69,11.73,20260102,20250807,20260806
239660,1.08,0.34,20260102,20250807,20260806
421320,-3.66,15.84,20260102,20250807,20260806
464920,38.89,99.04,20260102,20250807,20260806
489000,-1.95,-5.27,20260102,20250807,20260806
0098N0,20.29,,20260102,20250807,20260806
451000,-3.71,-7.43,20260102,20250807,20260806
280920,29.45,63.64,20260102,20250807,20260806
266550,20.01,22.47,20260102,20250807,20260806
0047N0,-11.59,3.46,20260102,20250807,20260806
0128D0,-21.51,,20260102,20250807,20260806
